Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C3_4, C3_3, C3_2, C3, C5_4, C5_3, C5_2, C5, C7_4, C7_3, C7_2, C7, C9_4, C9_3, C9_2, C9",1206,20,0.1uF,
"C10_4, C10_3, C10_2, C10, C11_4, C11_3, C11_2, C11",1206,8,22uF,
"C12_4, C12_3, C12_2, C12",1206,4,100nF,
"C2_4, C2_3, C2_2, C2, C4_4, C4_3, C4_2, C4, C6_4, C6_3, C6_2, C6",1206,12,10uF,
"C8_4, C8_3, C8_2, C8",1206,4,22pF,
"D1_4, D1_3, D1_2, D1, D3_4, D3_3, D3_2, D3",1206,8,LED,
"J2_4, J2_3, J2_2, J2",PinHeader_1x06_P2.54mm_Vertical,4,Strain gauge/load cell,
"J3_4, J3_3, J3_2, J3",PinHeader_1x06_P2.54mm_Vertical,4,JTAG,
"J4_4, J4_3, J4_2, J4",2x5_solder_wire_pad,4,BATT+,
"J6_4, J6_3, J6_2, J6",2x5_solder_wire_pad,4,BATT-,
"Q1_4, Q1_3, Q1_2, Q1",SOT-23,4,S9015,
"R1_4, R1_3, R1_2, R1, R6_4, R6_3, R6_2, R6",1206,8,10K,
"R10_4, R10_3, R10_2, R10",1206,4,1M,
"R11_4, R11_3, R11_2, R11",1206,4,330K,
"R12_4, R12_3, R12_2, R12, R15_4, R15_3, R15_2, R15",1206,8,330R,
"R16_4, R16_3, R16_2, R16, R9_4, R9_3, R9_2, R9",1206,8,1K2,
"R2_4, R2_3, R2_2, R2, R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4, R5_4, R5_3, R5_2, R5",1206,16,100R,
"R7_4, R7_3, R7_2, R7",1206,4,8K2,
"U1_4, U1_3, U1_2, U1",ESP32-WROOM-32,4,ESP32-WROOM-32,
"U2_4, U2_3, U2_2, U2",SOP-16_3.9x9.9mm_P1.27mm,4,HX711,
"U4_4, U4_3, U4_2, U4",SOT-223-3_TabPin2,4,AMS1117-3.3,
