C1:4
C10:4
C11:4
C12:4
C2:4
C3:4
C4:4
C5:4
C6:4
C7:4
C8:4
C9:4
D1:4
D3:4
J2:4
J3:4
J4:4
J6:4
Q1:4
R1:4
R10:4
R11:4
R12:4
R15:4
R16:4
R2:4
R3:4
R4:4
R5:4
R6:4
R7:4
R9:4
REF**:80
U1:4
U2:4
U4:4
